respondent_id,respondent_type,business_name,state,occupation_or_business_type,household_size,num_employees,monthly_household_income,monthly_business_revenue,energy_source,grid_hours_per_day,power_outage_hours,fuel_spend,daily_energy_spend,satisfaction,challenge,appliances,peak_energy_requirement_W,shortfall_frequency,willingness_to_pay,max_extra_hourly_fee,payment_method,payment_cycle,insufficient_action,microgrid_appeal,microgrid_factors,rental_concerns,recommend_likelihood,improvements,focus_group_interest,other_comments,photo,gps_latitude,gps_longitude,gps_altitude,gps_accuracy
ID-001,Household (non-business),,"Abuja FCT, Nigeria",Retail Shop,3,,"₦100,000–₦200,000",,National Grid,11–18,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Very dissatisfied,Noise or pollution (if using generator),"Mobile phone charger, TV, Fridge, POS terminal, Fan",200 W,1–3 times per week,"₦6,000",₦1000,POS/Mobile App,Daily,Switch back to current method,Appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)","Difficulty/delay in exchanging batteries, Unreliable availability of charged units",Definitely would recommend,More flexibility,Yes,Beyond,photo_001.jpg,9.096766456,7.733827605,506.5664936,15.14325275
ID-002,MSME,Royal Foods,"Abuja FCT, Nigeria",Restaurant/Catering,,20-Nov,,"₦250,000–₦500,000",Solar,5–10,Daily outages,"₦3,000–₦5,000","₦1,000–₦3,000",Very dissatisfied,Insufficient capacity to power all devices,"Machinery, Fan",2000 W,Every day,"₦6,000",₦500,Bank transfer,Pay-as-you-use,Switch back to current method,Appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus, Ability to charge/discharge flexibly",Maintenance/damage responsibility,Definitely would recommend,None,No,None,photo_002.jpg,9.477597411,7.442986263,535.6751608,13.91418306
ID-003,Workshop,Green Foods,"Abuja FCT, Nigeria",Retail Shop,,20-Nov,,"Above ₦1,000,000",Mixed sources,5–10,Daily outages,"₦3,000–₦5,000","More than ₦5,000",Dissatisfied,Unreliable availability of charged units,"Mobile phone charger, Machinery, Fridge",300 W,1–3 times per week,"₦6,000",₦300,Cash,Pay-as-you-use,Switch back to current method,Slightly appealing,"Reliable service (24/7 availability), Ability to charge/discharge flexibly, Lower rental cost due to shared surplus",Difficulty/delay in exchanging batteries,Would not recommend,Faster exchange,Yes,Beyond,photo_003.jpg,9.291119709,7.769133665,521.2978051,17.37716913
ID-004,Shop,Green Collections,"Abuja FCT, Nigeria",Repair/Services,,10-Jun,,"₦50,000–₦250,000",Solar,0–4,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Very satisfied,High daily cost compared to current method,"Lights, Fan, TV, Mobile phone charger",1000 W,Every day,"₦3,000",₦300,POS/Mobile App,Monthly,Rent an additional battery,Moderately appealing,"Ability to charge/discharge flexibly, Lower rental cost due to shared surplus, Reliable service (24/7 availability)",Maintenance/damage responsibility,Definitely would recommend,More flexibility,No,I don’t know,photo_004.jpg,9.090570249,7.451470654,528.3410638,12.8352629
ID-005,MSME,Bright Ventures,"Abuja FCT, Nigeria",Mobile Trader,,10-Jun,,"₦250,000–₦500,000",None,11–18,More than 6 hours,"₦1,000–₦3,000","₦1,000–₦3,000",Very satisfied,Noise or pollution (if using generator),"TV, Mobile phone charger",200 W,4–6 times per week,"₦4,000",₦300,POS/Mobile App,Daily,Switch back to current method,Appealing,"Ability to charge/discharge flexibly, Reliable service (24/7 availability), Lower rental cost due to shared surplus",Maintenance/damage responsibility,Definitely would recommend,Faster exchange,No,I don’t know,photo_005.jpg,9.52210015,7.41265555,540.9628331,10.81688618
ID-006,MSME,Prime Stores,"Abuja FCT, Nigeria",Repair/Services,,Just me (sole proprietor),,"₦50,000–₦250,000",None,0–4,Daily outages,"₦3,000–₦5,000","₦3,000–₦5,000",Satisfied,Noise or pollution (if using generator),"POS terminal, Fan, Mobile phone charger, Fridge, Lights",1000 W,Every day,"₦3,000",₦1000,Cash,Monthly,Rent an additional battery,Appealing,Reliable service (24/7 availability),Maintenance/damage responsibility,Would not recommend,Better monitoring,Yes,I don’t know,photo_006.jpg,9.190025397,7.687753329,530.3414439,19.68472133
ID-007,Household (non-business),,"Abuja FCT, Nigeria",Mobile Trader,2,,"₦20,000–₦50,000",,Mixed sources,5–10,Daily outages,"₦1,000–₦3,000","₦1,000–₦3,000",Very dissatisfied,High daily cost compared to current method,"Mobile phone charger, TV, POS terminal",500 W,Rarely,"₦3,000",₦500,Bank transfer,Monthly,Rent an additional battery,Moderately appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus",Maintenance/damage responsibility,Definitely would recommend,None,Yes,I don’t know,photo_007.jpg,9.097356584,7.391911317,507.6568159,16.01229228
ID-008,MSME,Top Tech,"Abuja FCT, Nigeria",Retail Shop,,5-Feb,,"₦250,000–₦500,000",Fossil generator,11–18,More than 6 hours,"More than ₦5,000","₦1,000–₦3,000",Very satisfied,Noise or pollution (if using generator),"POS terminal, Fan",200 W,Every day,"₦3,000",₦500,POS/Mobile App,Monthly,Switch back to current method,Not appealing,"Reliable service (24/7 availability), Lower rental cost due to shared surplus",High daily cost compared to current method,Probably would recommend,Faster exchange,Yes,I don’t know,photo_008.jpg,9.300100716,7.520725463,528.9744393,16.38230307
ID-009,Workshop,Unity Solutions,"Abuja FCT, Nigeria",Retail Shop,,Just me (sole proprietor),,"₦250,000–₦500,000",National Grid,5–10,Daily outages,"More than ₦5,000","More than ₦5,000",Very satisfied,Unreliable availability of charged units,"TV, POS terminal, Lights, Fridge, Mobile phone charger",200 W,1–3 times per week,"₦5,000",₦300,Cash,Monthly,Switch back to current method,Slightly appealing,Ability to charge/discharge flexibly,Insufficient capacity to power all devices,Would not recommend,More flexibility,Yes,I don’t know,photo_009.jpg,9.311401982,7.349856236,514.2640586,12.28653223
ID-010,MSME,Royal Stores,"Abuja FCT, Nigeria",Retail Shop,,Just me (sole proprietor),,"₦50,000–₦250,000",Solar,5–10,2–4 hours,"₦1,000–₦3,000","More than ₦5,000",Satisfied,Insufficient capacity to power all devices,"Mobile phone charger, Fan",500 W,Every day,"₦7,000",₦500,POS/Mobile App,Weekly,Top up with generator/fuel,Slightly appealing,"Lower rental cost due to shared surplus, Reliable service (24/7 availability)",Maintenance/damage responsibility,Definitely would recommend,Better monitoring,No,None,photo_010.jpg,9.5972731,7.545877626,511.3773366,12.68348765
